event_id,event_date,event_time,aircraft_registration,operator,event_type,event_classification,event_location,inspection_location,consequences,description
485,24.01.2027,06:25,RA-60606,Победа,Повреждение ВС,Аэродромно-производственное событие,Перрон 1,Внуково,Нет,Повреждение при обслуживании
486,2027-01-27,12:35,VQ-BJJ,Победаа,Посторонний предмет,АПС,Стоянка 5,Внуково,Нет,Обнаружен инструмент
487,27/01/2027,20:10,RA-61616,Россия,Нарушение процедуры,Аэродромно-производственное событие,Перрон 8,Шереметьево,Минимальные,Нарушение инструкции
488,2027-01-29,10:40,VQ-BJK,РОССИЯ ,Повреждение ВС,АПС,Перрон 4,Домодедово,Нет,Выявлено повреждение
489,29.01.2027,16.30,RA-62626,Aeroflot,Отклонение от регламента,Аэродромно-производственное событие,Перрон 10,Шереметьево,Минимальные,Несоответствие процедуре
490,2027-02-01,21:50,VQ-BJL,Аэрофлoт,Нарушение процедуры,АПС,РД-2,Шереметьево,Незначительные,Нарушение порядка контроля
491,2027-02-03,08:20,RA-63636,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,Перрон 5,Домодедово,Нет,Повреждение конструкции
492,03.02.2027,15:05,VQ-BJM,S7,Посторонний предмет,АПС,Стоянка 8,Шереметьево,Нет,Обнаружен объект
493,2027/02/05,19:30,RA-64646,Победа,Нарушение процедуры,Аэродромно-производственное событие,Перрон 9,Внуково,Незначительные,Нарушен порядок обслуживания
494,2027-02-07,07:15,VQ-BJN,победа,Повреждение ВС,АПС,Перрон 2,Внуково,Нет,Повреждение элемента
495,07.02.2027,13:50,RA-65656,Уральские авиалинии,Отклонение от регламента,Аэродромно-производственное событие,РД-3,Домодедово,Минимальные,Выявлено отклонение
496,2027-02-10,18:35,VQ-BJO,Уральские авиалинии ,Посторонний предмет,АПС,Перрон 11,Шереметьево,Нет,Обнаружен предмет
497,2027-02-12,22:25,RA-66666,Аэрофлот,Повреждение ВС,Аэродромно-производственное событие,Стоянка 6,Шереметьево,Нет,Обнаружено повреждение
498,12.02.2027,0640,VQ-BJP,АЭРОФЛОТ,Нарушение процедуры,АПС,Перрон 4,Шереметьево,Незначительные,Нарушение проверки
499,2027-02-15,11:30,RA-67676,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,Перрон 10,Домодедово,Нет,Обнаружен инструмент
500,2027-02-17,17:45,VQ-BJQ,C7,Отклонение от регламента,АПС,Перрон 3,Внуково,Минимальные,Несоответствие требованиям
501,2027-02-19,09:00,RA-68686,Аэрофлот,Нарушение процедуры,Аэродромно-производственное событие,Перрон 7,Шереметьево,Незначительные,Нарушение порядка действий
502,19.02.2027,14:40,VQ-BJR,аэрофлот,Повреждение ВС,АПС,Стоянка 10,Шереметьево,Нет,Выявлено повреждение
503,2027/02/22,18:15,RA-69696,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,РД-4,Домодедово,Нет,Обнаружен объект
504,2027-02-24,23:00,VQ-BJS,S7 airlines,Нарушение процедуры,АПС,Перрон 6,Шереметьево,Минимальные,Нарушение инструкции
505,24.02.2027,06:30,RA-70707,Победа,Повреждение ВС,Аэродромно-производственное событие,Перрон 1,Внуково,Нет,Повреждение обшивки
506,2027-02-27,12:50,VQ-BJT,Победаа,Посторонний предмет,АПС,Стоянка 5,Внуково,Нет,Обнаружен объект
507,27/02/2027,20:20,RA-71717,Россия,Отклонение от регламента,Аэродромно-производственное событие,Перрон 8,Шереметьево,Минимальные,Выявлено отклонение
508,2027-03-01,10:35,VQ-BJU,РОССИЯ ,Нарушение процедуры,АПС,Перрон 4,Домодедово,Незначительные,Нарушение контроля
509,01.03.2027,16.25,RA-72727,Aeroflot,Повреждение ВС,Аэродромно-производственное событие,Перрон 10,Шереметьево,Нет,Повреждение элемента
510,2027-03-03,21:45,VQ-BJV,Аэрофлoт,Посторонний предмет,АПС,РД-2,Шереметьево,Нет,Обнаружен предмет
511,2027-03-05,08:25,RA-73737,S7 Airlines,Нарушение процедуры,Аэродромно-производственное событие,Перрон 5,Домодедово,Минимальные,Нарушение требований
512,05.03.2027,15:15,VQ-BJW,S7,Повреждение ВС,АПС,Стоянка 8,Шереметьево,Нет,Выявлено повреждение
513,2027/03/07,19:35,RA-74747,Победа,Отклонение от регламента,Аэродромно-производственное событие,Перрон 9,Внуково,Минимальные,Несоответствие процедуре
514,2027-03-09,07:10,VQ-BJX,победа,Посторонний предмет,АПС,Перрон 2,Внуково,Нет,Обнаружен объект
515,09.03.2027,13:45,RA-75757,Уральские авиалинии,Нарушение процедуры,Аэродромно-производственное событие,РД-3,Домодедово,Незначительные,Нарушение порядка
516,2027-03-12,18:30,VQ-BJY,Уральские авиалинии ,Повреждение ВС,АПС,Перрон 11,Шереметьево,Нет,Обнаружено повреждение
517,2027-03-14,22:35,RA-76767,Аэрофлот,Отклонение от регламента,Аэродромно-производственное событие,Стоянка 6,Шереметьево,Минимальные,Выявлено отклонение
518,14.03.2027,0645,VQ-BJZ,АЭРОФЛОТ,Посторонний предмет,АПС,Перрон 4,Шереметьево,Нет,Обнаружен инструмент
519,2027-03-17,11:25,RA-77777,S7 Airlines,Нарушение процедуры,Аэродромно-производственное событие,Перрон 10,Домодедово,Незначительные,Нарушение инструкции
520,2027-03-19,17:40,VQ-BKA,C7,Повреждение ВС,АПС,Перрон 3,Внуково,Нет,Повреждение корпуса
521,2027-03-21,09:15,RA-78787,Аэрофлот,Посторонний предмет,Аэродромно-производственное событие,Перрон 7,Шереметьево,Нет,Обнаружен объект
522,21.03.2027,14:45,VQ-BKB,аэрофлот ,Нарушение процедуры,АПС,Стоянка 10,Шереметьево,Минимальные,Нарушение порядка
523,2027/03/24,18:20,RA-79797,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,РД-4,Домодедово,Нет,Выявлено повреждение
524,2027-03-26,23:10,VQ-BKC,S7 airlines,Отклонение от регламента,АПС,Перрон 6,Шереметьево,Минимальные,Несоответствие требованиям
525,26.03.2027,06:35,RA-80808,Победа,Посторонний предмет,Аэродромно-производственное событие,Перрон 1,Внуково,Нет,Обнаружен объект
526,2027-03-29,12:45,VQ-BKD,Победаа,Нарушение процедуры,АПС,Стоянка 5,Внуково,Незначительные,Нарушение работ
527,29/03/2027,20:15,RA-81818,Россия,Повреждение ВС,Аэродромно-производственное событие,Перрон 8,Шереметьево,Нет,Повреждение выявлено
528,2027-03-31,10:30,VQ-BKE,РОССИЯ ,Отклонение от регламента,АПС,Перрон 4,Домодедово,Минимальные,Выявлено отклонение
529,31.03.2027,16.20,RA-82828,Aeroflot,Нарушение процедуры,Аэродромно-производственное событие,Перрон 10,Шереметьево,Незначительные,Нарушение процедуры
530,2027-04-02,21:50,VQ-BKF,Аэрофлoт,Повреждение ВС,АПС,РД-2,Шереметьево,Нет,Обнаружено повреждение
531,2027-04-04,08:30,RA-83838,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,Перрон 5,Домодедово,Нет,Обнаружен объект возле воздушного судна
532,04.04.2027,15:05,VQ-BKG,S7,Нарушение процедуры,АПС,Стоянка 8,Шереметьево,Минимальные,Нарушение порядка проверки
533,2027/04/06,19:25,RA-84848,Победа,Повреждение ВС,Аэродромно-производственное событие,Перрон 9,Внуково,Нет,Повреждение обнаружено после обслуживания
534,2027-04-08,07:15,VQ-BKH,победа,Отклонение от регламента,АПС,Перрон 2,Внуково,Минимальные,Несоответствие требованиям
535,08.04.2027,13:40,RA-85858,Уральские авиалинии,Посторонний предмет,Аэродромно-производственное событие,РД-3,Домодедово,Нет,Обнаружен посторонний предмет
536,2027-04-11,18:35,VQ-BKI,Уральские авиалинии ,Повреждение ВС,АПС,Перрон 11,Шереметьево,Нет,Выявлено повреждение обшивки
537,2027-04-13,22:25,RA-86868,Аэрофлот,Нарушение процедуры,Аэродромно-производственное событие,Стоянка 6,Шереметьево,Незначительные,Нарушение регламента
538,13.04.2027,0640,VQ-BKJ,АЭРОФЛОТ,Отклонение от регламента,АПС,Перрон 4,Шереметьево,Минимальные,Выявлено отклонение
539,2027-04-16,11:20,RA-87878,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,Перрон 10,Домодедово,Нет,Повреждение элемента
540,2027-04-18,17:35,VQ-BKK,C7,Посторонний предмет,АПС,Перрон 3,Внуково,Нет,Обнаружен инструмент
541,2027-04-20,09:10,RA-88888,Аэрофлот,Нарушение процедуры,Аэродромно-производственное событие,Перрон 7,Шереметьево,Минимальные,Нарушение требований безопасности
542,20.04.2027,14:45,VQ-BKL,аэрофлот ,Повреждение ВС,АПС,Стоянка 10,Шереметьево,Нет,Обнаружено повреждение
543,2027/04/23,18:15,RA-89898,S7 Airlines,Отклонение от регламента,Аэродромно-производственное событие,РД-4,Домодедово,Минимальные,Выявлено несоответствие
544,2027-04-25,23:00,VQ-BKM,S7 airlines,Нарушение процедуры,АПС,Перрон 6,Шереметьево,Незначительные,Нарушение инструкции
545,25.04.2027,06:25,RA-90909,Победа,Повреждение ВС,Аэродромно-производственное событие,Перрон 1,Внуково,Нет,Повреждение конструкции
546,2027-04-28,12:40,VQ-BKN,Победаа,Посторонний предмет,АПС,Стоянка 5,Внуково,Нет,Обнаружен объект
547,28/04/2027,20:10,RA-91919,Россия,Нарушение процедуры,Аэродромно-производственное событие,Перрон 8,Шереметьево,Минимальные,Нарушение порядка
548,2027-04-30,10:45,VQ-BKO,РОССИЯ ,Повреждение ВС,АПС,Перрон 4,Домодедово,Нет,Выявлено повреждение
549,30.04.2027,16.35,RA-92929,Aeroflot,Посторонний предмет,Аэродромно-производственное событие,Перрон 10,Шереметьево,Нет,Обнаружен предмет
550,2027-05-02,21:55,VQ-BKP,Аэрофлoт,Отклонение от регламента,АПС,РД-2,Шереметьево,Минимальные,Несоответствие процедуре
551,2027-05-04,08:20,RA-93939,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,Перрон 5,Домодедово,Нет,Повреждение корпуса
552,04.05.2027,15:10,VQ-BKQ,S7,Посторонний предмет,АПС,Стоянка 8,Шереметьево,Нет,Обнаружен предмет
553,2027/05/06,19:30,RA-94949,Победа,Нарушение процедуры,Аэродромно-производственное событие,Перрон 9,Внуково,Незначительные,Нарушение обслуживания
554,2027-05-08,07:05,VQ-BKR,победа,Повреждение ВС,АПС,Перрон 2,Внуково,Нет,Повреждение панели
555,08.05.2027,13:50,RA-95959,Уральские авиалинии,Отклонение от регламента,Аэродромно-производственное событие,РД-3,Домодедово,Минимальные,Выявлено отклонение
556,2027-05-11,18:30,VQ-BKS,Уральские авиалинии ,Посторонний предмет,АПС,Перрон 11,Шереметьево,Нет,Обнаружен объект
557,2027-05-13,22:15,RA-96969,Аэрофлот,Повреждение ВС,Аэродромно-производственное событие,Стоянка 6,Шереметьево,Нет,Повреждение выявлено
558,13.05.2027,0645,VQ-BKT,АЭРОФЛОТ,Нарушение процедуры,АПС,Перрон 4,Шереметьево,Незначительные,Нарушение контроля
559,2027-05-16,11:25,RA-97979,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,Перрон 10,Домодедово,Нет,Обнаружен инструмент
560,2027-05-18,17:40,VQ-BKU,C7,Отклонение от регламента,АПС,Перрон 3,Внуково,Минимальные,Несоответствие
561,2027-05-20,09:15,RA-98989,Аэрофлот,Нарушение процедуры,Аэродромно-производственное событие,Перрон 7,Шереметьево,Незначительные,Нарушение порядка
562,20.05.2027,14:35,VQ-BKV,аэрофлот,Повреждение ВС,АПС,Стоянка 10,Шереметьево,Нет,Обнаружено повреждение
563,2027/05/23,18:20,RA-99999,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,РД-4,Домодедово,Нет,Обнаружен объект
564,2027-05-25,23:10,VQ-BKW,S7 airlines,Нарушение процедуры,АПС,Перрон 6,Шереметьево,Минимальные,Нарушение требований
565,25.05.2027,06:30,RA-10101,Победа,Повреждение ВС,Аэродромно-производственное событие,Перрон 1,Внуково,Нет,Повреждение при работе
566,2027-05-28,12:45,VQ-BKX,Победаа,Посторонний предмет,АПС,Стоянка 5,Внуково,Нет,Обнаружен объект
567,28/05/2027,20:15,RA-11111,Россия,Нарушение процедуры,Аэродромно-производственное событие,Перрон 8,Шереметьево,Незначительные,Нарушение инструкции
568,2027-05-30,10:35,VQ-BKY,РОССИЯ ,Отклонение от регламента,АПС,Перрон 4,Домодедово,Минимальные,Выявлено отклонение
569,30.05.2027,16.25,RA-12121,Aeroflot,Повреждение ВС,Аэродромно-производственное событие,Перрон 10,Шереметьево,Нет,Повреждение конструкции
570,2027-06-01,21:45,VQ-BKZ,Аэрофлoт,Посторонний предмет,АПС,РД-2,Шереметьево,Нет,Обнаружен предмет
571,2027-06-03,08:15,RA-13131,S7 Airlines,Нарушение процедуры,Аэродромно-производственное событие,Перрон 5,Домодедово,Минимальные,Нарушение порядка
572,03.06.2027,15:00,VQ-BLA,S7,Повреждение ВС,АПС,Стоянка 8,Шереметьево,Нет,Выявлено повреждение
573,2027/06/05,19:40,RA-14141,Победа,Отклонение от регламента,Аэродромно-производственное событие,Перрон 9,Внуково,Минимальные,Несоответствие
574,2027-06-07,07:10,VQ-BLB,победа,Посторонний предмет,АПС,Перрон 2,Внуково,Нет,Обнаружен объект
575,07.06.2027,13:45,RA-15151,Уральские авиалинии,Нарушение процедуры,Аэродромно-производственное событие,РД-3,Домодедово,Незначительные,Нарушение инструкции
576,2027-06-10,18:35,VQ-BLC,Уральские авиалинии ,Повреждение ВС,АПС,Перрон 11,Шереметьево,Нет,Повреждение корпуса
577,2027-06-12,22:25,RA-16161,Аэрофлот,Отклонение от регламента,Аэродромно-производственное событие,Стоянка 6,Шереметьево,Минимальные,Выявлено отклонение
578,12.06.2027,0640,VQ-BLD,АЭРОФЛОТ,Посторонний предмет,АПС,Перрон 4,Шереметьево,Нет,Обнаружен предмет
579,2027-06-15,11:20,RA-17171,S7 Airlines,Нарушение процедуры,Аэродромно-производственное событие,Перрон 10,Домодедово,Незначительные,Нарушение контроля
580,2027-06-17,17:35,VQ-BLE,C7,Повреждение ВС,АПС,Перрон 3,Внуково,Нет,Выявлено повреждение
581,2027-06-19,09:05,RA-18181,Аэрофлот,Посторонний предмет,Аэродромно-производственное событие,Перрон 7,Шереметьево,Нет,Обнаружен объект возле ВС
582,19.06.2027,14:50,VQ-BLF,аэрофлот ,Нарушение процедуры,АПС,Стоянка 10,Шереметьево,Минимальные,Нарушение порядка контроля
583,2027/06/22,18:15,RA-19191,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,РД-4,Домодедово,Нет,Повреждение выявлено после стоянки
584,2027-06-24,23:00,VQ-BLG,S7 airlines,Отклонение от регламента,АПС,Перрон 6,Шереметьево,Минимальные,Выявлено несоответствие
585,24.06.2027,06:30,RA-20202,Победа,Нарушение процедуры,Аэродромно-производственное событие,Перрон 1,Внуково,Незначительные,Нарушение инструкции
586,2027-06-27,12:40,VQ-BLH,Победаа,Повреждение ВС,АПС,Стоянка 5,Внуково,Нет,Повреждение элемента конструкции
587,27/06/2027,20:20,RA-21212,Россия,Посторонний предмет,Аэродромно-производственное событие,Перрон 8,Шереметьево,Нет,Обнаружен предмет
588,2027-06-29,10:35,VQ-BLI,РОССИЯ ,Нарушение процедуры,АПС,Перрон 4,Домодедово,Минимальные,Нарушение порядка работ
589,29.06.2027,16.25,RA-22222,Aeroflot,Повреждение ВС,Аэродромно-производственное событие,Перрон 10,Шереметьево,Нет,Обнаружено повреждение
590,2027-07-01,21:45,VQ-BLJ,Аэрофлoт,Отклонение от регламента,АПС,РД-2,Шереметьево,Минимальные,Несоответствие процедуре
591,2027-07-03,08:25,RA-23232,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,Перрон 5,Домодедово,Нет,Обнаружен объект
592,03.07.2027,15:05,VQ-BLK,S7,Нарушение процедуры,АПС,Стоянка 8,Шереметьево,Незначительные,Нарушение контроля
593,2027/07/05,19:35,RA-24242,Победа,Повреждение ВС,Аэродромно-производственное событие,Перрон 9,Внуково,Нет,Повреждение корпуса
594,2027-07-07,07:15,VQ-BLL,победа,Посторонний предмет,АПС,Перрон 2,Внуково,Нет,Обнаружен инструмент
595,07.07.2027,13:45,RA-25252,Уральские авиалинии,Отклонение от регламента,Аэродромно-производственное событие,РД-3,Домодедово,Минимальные,Выявлено отклонение
596,2027-07-10,18:30,VQ-BLM,Уральские авиалинии ,Нарушение процедуры,АПС,Перрон 11,Шереметьево,Незначительные,Нарушение требований
597,2027-07-12,22:25,RA-26262,Аэрофлот,Повреждение ВС,Аэродромно-производственное событие,Стоянка 6,Шереметьево,Нет,Выявлено повреждение
598,12.07.2027,0640,VQ-BLN,АЭРОФЛОТ,Посторонний предмет,АПС,Перрон 4,Шереметьево,Нет,Обнаружен объект
599,2027-07-15,11:20,RA-27272,S7 Airlines,Нарушение процедуры,Аэродромно-производственное событие,Перрон 10,Домодедово,Минимальные,Нарушение инструкции
600,2027-07-17,17:35,VQ-BLO,C7,Отклонение от регламента,АПС,Перрон 3,Внуково,Минимальные,Несоответствие требованиям
601,2027-07-19,09:15,RA-28282,Аэрофлот,Повреждение ВС,Аэродромно-производственное событие,Перрон 7,Шереметьево,Нет,Повреждение после обслуживания
602,19.07.2027,14:45,VQ-BLP,аэрофлот,Посторонний предмет,АПС,Стоянка 10,Шереметьево,Нет,Обнаружен предмет
603,2027/07/22,18:20,RA-29292,S7 Airlines,Нарушение процедуры,Аэродромно-производственное событие,РД-4,Домодедово,Незначительные,Нарушение порядка
604,2027-07-24,23:10,VQ-BLQ,S7 airlines,Повреждение ВС,АПС,Перрон 6,Шереметьево,Нет,Повреждение элемента
605,24.07.2027,06:25,RA-30303,Победа,Отклонение от регламента,Аэродромно-производственное событие,Перрон 1,Внуково,Минимальные,Выявлено отклонение
606,2027-07-27,12:45,VQ-BLR,Победаа,Посторонний предмет,АПС,Стоянка 5,Внуково,Нет,Обнаружен объект
607,27/07/2027,20:15,RA-31313,Россия,Нарушение процедуры,Аэродромно-производственное событие,Перрон 8,Шереметьево,Минимальные,Нарушение требований
608,2027-07-29,10:30,VQ-BLS,РОССИЯ ,Повреждение ВС,АПС,Перрон 4,Домодедово,Нет,Выявлено повреждение
609,29.07.2027,16.20,RA-32323,Aeroflot,Посторонний предмет,Аэродромно-производственное событие,Перрон 10,Шереметьево,Нет,Обнаружен инструмент
610,2027-08-01,21:50,VQ-BLT,Аэрофлoт,Нарушение процедуры,АПС,РД-2,Шереметьево,Незначительные,Нарушение порядка
611,2027-08-03,08:30,RA-33333,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,Перрон 5,Домодедово,Нет,Повреждение конструкции
612,03.08.2027,15:00,VQ-BLU,S7,Отклонение от регламента,АПС,Стоянка 8,Шереметьево,Минимальные,Несоответствие процедуре
613,2027/08/05,19:35,RA-34343,Победа,Посторонний предмет,Аэродромно-производственное событие,Перрон 9,Внуково,Нет,Обнаружен объект
614,2027-08-07,07:10,VQ-BLV,победа,Нарушение процедуры,АПС,Перрон 2,Внуково,Незначительные,Нарушение инструкции
615,07.08.2027,13:45,RA-35353,Уральские авиалинии,Повреждение ВС,Аэродромно-производственное событие,РД-3,Домодедово,Нет,Повреждение обшивки
616,2027-08-10,18:25,VQ-BLW,Уральские авиалинии ,Посторонний предмет,АПС,Перрон 11,Шереметьево,Нет,Обнаружен объект
617,2027-08-12,22:35,RA-36363,Аэрофлот,Отклонение от регламента,Аэродромно-производственное событие,Стоянка 6,Шереметьево,Минимальные,Выявлено отклонение
618,12.08.2027,0645,VQ-BLX,АЭРОФЛОТ,Нарушение процедуры,АПС,Перрон 4,Шереметьево,Незначительные,Нарушение контроля
619,2027-08-15,11:20,RA-37373,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,Перрон 10,Домодедово,Нет,Обнаружено повреждение
620,2027-08-17,17:40,VQ-BLY,C7,Посторонний предмет,АПС,Перрон 3,Внуково,Нет,Обнаружен предмет
621,2027-08-19,09:10,RA-38383,Аэрофлот,Нарушение процедуры,Аэродромно-производственное событие,Перрон 7,Шереметьево,Минимальные,Нарушение порядка
622,19.08.2027,14:45,VQ-BLZ,аэрофлот ,Повреждение ВС,АПС,Стоянка 10,Шереметьево,Нет,Повреждение выявлено
623,2027/08/22,18:20,RA-39393,S7 Airlines,Отклонение от регламента,Аэродромно-производственное событие,РД-4,Домодедово,Минимальные,Несоответствие требованиям
624,2027-08-24,23:05,VQ-BMA,S7 airlines,Посторонний предмет,АПС,Перрон 6,Шереметьево,Нет,Обнаружен объект
625,24.08.2027,06:30,RA-40404,Победа,Нарушение процедуры,Аэродромно-производственное событие,Перрон 1,Внуково,Незначительные,Нарушение регламента
626,2027-08-27,12:40,VQ-BMB,Победаа,Повреждение ВС,АПС,Стоянка 5,Внуково,Нет,Повреждение конструкции
627,27/08/2027,20:15,RA-41414,Россия,Посторонний предмет,Аэродромно-производственное событие,Перрон 8,Шереметьево,Нет,Обнаружен предмет
628,2027-08-29,10:35,VQ-BMC,РОССИЯ ,Нарушение процедуры,АПС,Перрон 4,Домодедово,Минимальные,Нарушение порядка
629,29.08.2027,16.25,RA-42424,Aeroflot,Повреждение ВС,Аэродромно-производственное событие,Перрон 10,Шереметьево,Нет,Обнаружено повреждение
630,2027-09-01,21:45,VQ-BMD,Аэрофлoт,Отклонение от регламента,АПС,РД-2,Шереметьево,Минимальные,Выявлено отклонение
631,2027-09-03,08:20,RA-43434,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,Перрон 5,Домодедово,Нет,Обнаружен посторонний объект
632,03.09.2027,15:10,VQ-BME,S7,Нарушение процедуры,АПС,Стоянка 8,Шереметьево,Минимальные,Нарушение порядка контроля
633,2027/09/05,19:30,RA-44444,Победа,Повреждение ВС,Аэродромно-производственное событие,Перрон 9,Внуково,Нет,Повреждение выявлено при осмотре
634,2027-09-07,07:15,VQ-BMF,победа,Отклонение от регламента,АПС,Перрон 2,Внуково,Минимальные,Выявлено несоответствие
635,07.09.2027,13:45,RA-45454,Уральские авиалинии,Посторонний предмет,Аэродромно-производственное событие,РД-3,Домодедово,Нет,Обнаружен предмет
636,2027-09-10,18:35,VQ-BMG,Уральские авиалинии ,Нарушение процедуры,АПС,Перрон 11,Шереметьево,Незначительные,Нарушение инструкции
637,2027-09-12,22:20,RA-46464,Аэрофлот,Повреждение ВС,Аэродромно-производственное событие,Стоянка 6,Шереметьево,Нет,Обнаружено повреждение
638,12.09.2027,0640,VQ-BMH,АЭРОФЛОТ,Отклонение от регламента,АПС,Перрон 4,Шереметьево,Минимальные,Несоответствие процедуре
639,2027-09-15,11:25,RA-47474,S7 Airlines,Нарушение процедуры,Аэродромно-производственное событие,Перрон 10,Домодедово,Незначительные,Нарушение порядка
640,2027-09-17,17:40,VQ-BMI,C7,Повреждение ВС,АПС,Перрон 3,Внуково,Нет,Повреждение элемента конструкции
641,2027-09-19,09:05,RA-48484,Аэрофлот,Посторонний предмет,Аэродромно-производственное событие,Перрон 7,Шереметьево,Нет,Обнаружен объект
642,19.09.2027,14:45,VQ-BMJ,аэрофлот ,Нарушение процедуры,АПС,Стоянка 10,Шереметьево,Минимальные,Нарушение проверки
643,2027/09/22,18:15,RA-49494,S7 Airlines,Отклонение от регламента,Аэродромно-производственное событие,РД-4,Домодедово,Минимальные,Выявлено отклонение
644,2027-09-24,23:00,VQ-BMK,S7 airlines,Посторонний предмет,АПС,Перрон 6,Шереметьево,Нет,Обнаружен инструмент
645,24.09.2027,06:30,RA-50505,Победа,Повреждение ВС,Аэродромно-производственное событие,Перрон 1,Внуково,Нет,Повреждение обшивки
646,2027-09-27,12:40,VQ-BML,Победаа,Нарушение процедуры,АПС,Стоянка 5,Внуково,Незначительные,Нарушение регламента
647,27/09/2027,20:15,RA-51515,Россия,Посторонний предмет,Аэродромно-производственное событие,Перрон 8,Шереметьево,Нет,Обнаружен объект
648,2027-09-29,10:35,VQ-BMM,РОССИЯ ,Повреждение ВС,АПС,Перрон 4,Домодедово,Нет,Выявлено повреждение
649,29.09.2027,16.25,RA-52525,Aeroflot,Отклонение от регламента,Аэродромно-производственное событие,Перрон 10,Шереметьево,Минимальные,Несоответствие
650,2027-10-01,21:45,VQ-BMN,Аэрофлoт,Нарушение процедуры,АПС,РД-2,Шереметьево,Незначительные,Нарушение порядка
651,2027-10-03,08:25,RA-53535,S7 Airlines,Повреждение ВС,Аэродромно-производственное событие,Перрон 5,Домодедово,Нет,Повреждение корпуса
652,03.10.2027,15:05,VQ-BMO,S7,Посторонний предмет,АПС,Стоянка 8,Шереметьево,Нет,Обнаружен предмет
653,2027/10/05,19:35,RA-54545,Победа,Нарушение процедуры,Аэродромно-производственное событие,Перрон 9,Внуково,Незначительные,Нарушение контроля
654,2027-10-07,07:10,VQ-BMP,победа,Повреждение ВС,АПС,Перрон 2,Внуково,Нет,Повреждение элемента
655,07.10.2027,13:50,RA-55555,Уральские авиалинии,Отклонение от регламента,Аэродромно-производственное событие,РД-3,Домодедово,Минимальные,Выявлено отклонение
656,2027-10-10,18:30,VQ-BMQ,Уральские авиалинии ,Посторонний предмет,АПС,Перрон 11,Шереметьево,Нет,Обнаружен объект
657,2027-10-12,22:25,RA-56565,Аэрофлот,Нарушение процедуры,Аэродромно-производственное событие,Стоянка 6,Шереметьево,Минимальные,Нарушение инструкции
658,12.10.2027,0645,VQ-BMR,АЭРОФЛОТ,Повреждение ВС,АПС,Перрон 4,Шереметьево,Нет,Выявлено повреждение
659,2027-10-15,11:20,RA-57575,S7 Airlines,Отклонение от регламента,Аэродромно-производственное событие,Перрон 10,Домодедово,Минимальные,Несоответствие
660,2027-10-17,17:40,VQ-BMS,C7,Посторонний предмет,АПС,Перрон 3,Внуково,Нет,Обнаружен инструмент
661,2027-10-19,09:15,RA-58585,Аэрофлот,Нарушение процедуры,Аэродромно-производственное событие,Перрон 7,Шереметьево,Незначительные,Нарушение порядка
662,19.10.2027,14:45,VQ-BMT,аэрофлот ,Повреждение ВС,АПС,Стоянка 10,Шереметьево,Нет,Повреждение выявлено
663,2027/10/22,18:20,RA-59595,S7 Airlines,Посторонний предмет,Аэродромно-производственное событие,РД-4,Домодедово,Нет,Обнаружен объект
664,2027-10-24,23:05,VQ-BMU,S7 airlines,Нарушение процедуры,АПС,Перрон 6,Шереметьево,Минимальные,Нарушение регламента
665,24.10.2027,06:25,RA-60606,Победа,Повреждение ВС,Аэродромно-производственное событие,Перрон 1,Внуково,Нет,Повреждение панели
666,2027-10-27,12:45,VQ-BMV,Победаа,Посторонний предмет,АПС,Стоянка 5,Внуково,Нет,Обнаружен объект
667,27/10/2027,20:15,RA-61616,Россия,Отклонение от регламента,Аэродромно-производственное событие,Перрон 8,Шереметьево,Минимальные,Выявлено нарушение
668,2027-10-29,10:35,VQ-BMW,РОССИЯ ,Нарушение процедуры,АПС,Перрон 4,Домодедово,Незначительные,Нарушение порядка
669,29.10.2027,16.20,RA-62626,Aeroflot,Повреждение ВС,Аэродромно-производственное событие,Перрон 10,Шереметьево,Нет,Обнаружено повреждение
670,2027-11-01,21:50,VQ-BMX,Аэрофлoт,Посторонний предмет,АПС,РД-2,Шереметьево,Нет,Обнаружен предмет
671,2027-11-03,08:20,RA-63636,S7 Airlines,Нарушение процедуры,Аэродромно-производственное событие,Перрон 5,Домодедово,Минимальные,Нарушение требований
672,03.11.2027,15:00,VQ-BMY,S7,Повреждение ВС,АПС,Стоянка 8,Шереметьево,Нет,Выявлено повреждение
673,2027/11/05,19:30,RA-64646,Победа,Отклонение от регламента,Аэродромно-производственное событие,Перрон 9,Внуково,Минимальные,Несоответствие
674,2027-11-07,07:15,VQ-BMZ,победа,Посторонний предмет,АПС,Перрон 2,Внуково,Нет,Обнаружен объект
675,07.11.2027,13:45,RA-65656,Уральские авиалинии,Нарушение процедуры,Аэродромно-производственное событие,РД-3,Домодедово,Незначительные,Нарушение порядка
